transType,value,input,context
New-Order,1016.29747499742,"8,3,487,0,86939,4,65426,5,70734,1,76549,4,71490,10,84366,10,96342,3,80470,7,85014,7,65373,9,71748,9,80902,8","17,5678.689999999948,480054,19538.56139394736"
New-Order,920.0985707558399,"6,7,2623,0,51733,8,44822,6,51661,2,25046,4,54102,8,48852,6,49174,1","14,4650.804285714224,480062,19538.36662458184"
Payment,2827.5966000000003,,"17,5556.815294117595,480053,19538.598829900046"
Order-Status,1235.9799999999998,"6,8,0,ESEESECALLY","14,4652.610714285651,480065,19538.253940299768"
New-Order,1221.37398156312,"8,3,1565,0,24006,5,31503,5,25814,5,48904,9,28565,9,42478,10","17,3394.18882352936,480056,19538.573608141563"
Payment,579.069,,"12,3379.134166666594,480062,19538.36662458184"
New-Order,577.7994304905199,"1,9,2583,0,89168,9,87886,6,93270,4,80334,10,79185,2,97329,4,86550,8,87120,5","14,4631.854999999937,480063,19538.327974411706"
Payment,1344.1707,,"19,9073.35684210522,480048,19538.516878437167"
Payment,2829.3381000000004,,"18,5648.813333333284,480054,19538.56139394736"
Payment,2827.5966000000003,,"16,3258.606249999945,480057,19538.544496882674"
Delivery,9824.3275,"4,0,0","13,4854.553076923009,480065,19538.253940299768"
New-Order,1958.5419999830997,"6,2,1611,0,32782,10,55281,3,43918,7,30674,8,32788,10,38926,10,31118,4,28694,7,49108,9,37846,9,36494,4","13,4741.976153846085,480066,19538.220512825337"
Stock-Level,4098.416,"4,2","17,6058.10588235289,480051,19538.57581386146"
Payment,350.1063,,"14,4650.804285714224,480062,19538.36662458184"
Payment,19544.8302,,"13,4932.877692307625,480063,19538.327974411706"
New-Order,554.50573711344,"8,9,1519,0,86870,5,65302,2,72789,4,78901,7,88662,8,88918,9,88082,4,72790,1,79890,3,71428,8","14,4548.230714285651,480066,19538.220512825337"
Payment,1618.821,,"12,5109.208333333259,480065,19538.253940299768"
Payment,3491.9342999999994,,"15,3218.732666666608,480059,19538.47261930306"
New-Order,439.94507134032,"11,1,1662,0,88996,8,88660,5,77974,5,87116,1,84821,9,87638,4,94541,6","11,5412.80909090901,480071,19538.037413590922"
Payment,778.3047,,"14,4566.829999999937,480067,19538.1813030473"
New-Order,1451.4310437272798,"4,7,1507,0,70998,10,88787,1,64998,9,84470,2,80470,6,97364,5,97094,7,96884,8,64277,4,79862,5,88214,7,80868,7,65509,9,65414,8","11,5412.80909090901,480071,19538.037413590922"
Payment,646.704,,"12,4997.760833333259,480070,19538.0772115525"
Payment,780.1839000000001,,"11,3316.741818181737,480072,19538.04697753672"
Payment,19544.8302,,"13,4854.553076923009,480065,19538.253940299768"
New-Order,419.106817689,"15,10,451,0,87122,1,80938,7,88982,3,72246,9,80763,6,87444,7,76110,6,60374,9,70930,9,65236,3","12,3379.134166666594,480062,19538.36662458184"
Payment,617.0904,,"14,4566.829999999937,480067,19538.1813030473"
New-Order,19693.1634298854,"3,2,1905,0,2978,2,19380,10,10625,8,8618,5,6052,7,10942,7,6822,9,10081,4,2850,8","10,3541.147999999911,480072,19538.04697753672"
New-Order,406.48850158518,"13,5,645,0,65358,10,80942,4,97172,2,80326,10,89045,2,84307,7,80656,2,90678,3,62238,2","10,3468.546999999911,480073,19538.010026162705"
New-Order,1606.7652143897203,"13,4,551,0,21204,10,57280,6,28694,2,36754,8,38932,2,57334,2,40406,2,48147,2,36886,3,50367,2,37102,2,46868,5","9,3374.9377777776785,480074,19537.97830817751"
Payment,1642.1616000000004,,"11,5026.5709090908285,480070,19538.0772115525"
New-Order,720.7628940035997,"11,8,1535,0,40470,2,57334,2,32657,8,23428,6,23315,5,38666,5","9,3344.801111111012,480075,19537.939611914826"
New-Order,1293.2844898399997,"13,9,1055,0,87054,4,63479,2,90193,4,89092,4,67839,9,97200,6,74550,10,99926,7,65110,5,89174,8,86068,7,89124,9,88496,9","9,4460.448888888789,480079,19537.832173871404"
Payment,1618.821,,"12,4898.594999999927,480069,19538.110638449907"
Payment,3491.9342999999994,,"13,4741.976153846085,480066,19538.220512825337"
Payment,1559.5416,,"8,882.6174999998881,480078,19537.871284166344"
New-Order,714.63699094725,"6,2,2603,0,32692,6,24914,4,24853,1,55185,7,23334,2,40980,3,57294,1","7,888.199999999872,480078,19537.871284166344"
New-Order,991.3191599278799,"8,1,704,0,79441,9,99140,6,80467,8,75760,4,66192,8,72790,8,78906,5,71630,1,63509,10,88150,8","7,888.199999999872,480078,19537.871284166344"
Payment,558.6084000000002,,"9,3344.801111111012,480075,19537.939611914826"
Order-Status,1825.5400000000002,"6,4,0,ANTIABLEEING","10,3952.7869999999093,480083,19537.69034654427"
Payment,778.3047,,"11,5026.5709090908285,480070,19538.0772115525"
Payment,683.2674000000002,,"10,4287.47199999991,480080,19537.795699800055"
New-Order,745.1595421849602,"8,8,2550,0,72785,10,80070,9,89174,9,69150,2,97238,2,94644,7,96846,10,83726,7","10,4277.42799999991,480081,19537.7587495652"
New-Order,21992.92177551616,"8,7,2167,0,17046,3,17746,9,13658,9,11737,4,13533,9,12755,5,9110,3,1396,2,15514,2,1974,4","10,3952.7869999999093,480083,19537.69034654427"
New-Order,2374.8069402540004,"13,4,678,0,22741,9,37909,2,28662,2,36626,2,22214,9,34293,3,57357,8,49142,8,27158,10,40685,7,24525,8,20806,10,49070,1,31702,10,32720,9","10,4277.42799999991,480081,19537.7587495652"
New-Order,594.8307097935999,"15,9,438,0,61433,4,68564,4,88662,1,89169,9,85048,4,93158,10,63445,5,88020,6,80790,2","8,4567.236249999887,480083,19537.69034654427"
New-Order,18919.168495535,"1,6,327,0,19934,2,2962,2,19934,9,11109,4,2940,1,5778,4,13653,6,6519,4,16350,4,9310,7,19674,6,13147,7,11739,7,2966,5,11710,6","9,4315.358888888788,480084,19537.651086643196"
New-Order,2143.506048203519,"6,8,1478,0,44166,1,27670,6,31733,10,32790,6,21166,2,44246,9,57362,5,53264,8,40214,6,40916,10","9,4315.358888888788,480084,19537.651086643196"
Payment,1643.9274,,"8,4900.343749999887,480079,19537.832173871404"
Payment,19544.8302,,"12,4898.594999999927,480069,19538.110638449907"
Payment,3807.2430000000004,,"10,4322.85299999991,480079,19537.832173871404"
Payment,3791.4885000000013,,"8,4567.236249999887,480083,19537.69034654427"
Stock-Level,4731.776,"4,2","10,3202.8569999999104,480075,19537.939611914826"
Payment,4623.4881000000005,,"8,4734.669999999886,480085,19537.612391868133"
Payment,29030.294700000002,,"8,4741.147499999886,480086,19537.573452860557"
Payment,1355.5755,,"9,7068.968888888789,480086,19537.573452860557"
Payment,26651.956500000004,,"10,6874.84699999991,480086,19537.573452860557"
Payment,1258.3269000000003,,"10,4287.47199999991,480080,19537.795699800055"
New-Order,2905.7605834672795,"3,3,1663,0,57172,2,32526,9,42507,2,41985,10,56980,8,30734,10,46036,6,23218,3,56562,4,49164,7,57302,2,55298,8","9,8218.6699999999,480090,19537.484698285767"
